driverId,driverScore,driveDistanceMeters,driveTimeMilliseconds,count_obstructedCamera,count_mobileUsage,count_noSeatbelt,count_distractedDrivingAutomatic,count_followingDistance,count_drowsy,count_braking,count_defensiveDriving,count_harshTurn,count_crash,scoreImpact_obstructedCamera,scoreImpact_mobileUsage,scoreImpact_noSeatbelt,scoreImpact_distractedDrivingAutomatic,scoreImpact_followingDistance,scoreImpact_drowsy,scoreImpact_braking,scoreImpact_defensiveDriving,scoreImpact_harshTurn,scoreImpact_crash,durationMilliseconds_maxSpeed,scoreImpact_maxSpeed,MaxSpeed_coached,Drowsy_coached,MobileUsage_coached,NoSeatbelt_coached,Braking_coached,ObstructedCamera_coached,DefensiveDriving_coached,HarshTurn_coached,driverName,tagId,tagName,parentTagId,parentTagName,fecha_corte
53682540,88,5207157,252134695,0,13,0,0,0,0,0,0,0,0,0.0,-12.053490225088279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,LOPJU,4433384,Pipas,4363965,EC-02,2026-05-17T23:59:59.000000
53682731,91,863947,67710328,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.313904672393097,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,OROEDU,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53682736,87,613310,58815675,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-13.12015131010419,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,SANJOR,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53682739,91,1743808,168258915,0,0,5,0,0,0,1,0,0,0,0.0,0.0,-4.614452967299153,0.0,0.0,0.0,-4.614452967299153,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,MARMIG,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53682743,100,299159,34800498,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,CARJOS02,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53682942,90,1293403,122340396,0,0,3,0,0,1,0,0,0,0,0.0,0.0,-3.7328133613421346,0.0,0.0,-6.2213556022368905,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,MORBR,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53682943,90,2376844,231135068,0,3,0,0,0,0,0,0,1,0,0.0,-6.093835354781383,0.0,0.0,0.0,0.0,0.0,0.0,-3.385464085989657,0.0,121124,-0.2620199544969091,0,0,2,0,0,0,0,0,MORLU01,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53682961,0,1630031,149776052,5,3,0,0,0,0,0,0,0,0,-246.8272075807147,-8.88577947290573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146437,-3.8271705813156296,19,0,3,0,0,3,0,0,OROMAR,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53682962,0,1760586,165748548,0,24,22,0,0,0,5,0,0,0,0.0,-65.81488663433652,-20.1101042493806,0.0,0.0,0.0,-22.85239119247796,0.0,0.0,0.0,723753,-2.183286094307143,0,0,0,0,0,0,0,0,INCDAN,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53682967,92,1984411,211487705,0,3,0,0,0,0,0,0,0,0,0.0,-7.298939584592104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97013,-0.22935848682078233,0,0,0,0,0,0,0,0,SANJOS,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683118,46,920724,94484911,0,10,1,0,0,0,0,0,0,0,0.0,-52.43734278676347,-1.7479114262254487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,0,0,0,0,0,PANJU,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683119,0,1460460,136174980,0,33,2,0,0,0,1,0,0,0,0.0,-109.09237911343011,-2.20388644673596,0.0,0.0,0.0,-5.5097161168399,0.0,0.0,0.0,0,0.0,0,0,22,2,1,0,0,0,ROBJUA01,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683121,91,643246,46072544,0,0,2,0,0,0,0,0,0,0,0.0,0.0,-5.003821244127441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392692,-4.261670464734919,3,0,0,1,0,0,0,0,OVAQUI,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683129,25,1962150,164059387,0,11,15,0,0,0,1,0,0,0,0.0,-27.066407766990302,-12.302912621359223,0.0,0.0,0.0,-4.100970873786409,0.0,0.0,0.0,10197013,-31.0772007212242,54,0,4,5,1,0,0,0,SEGMAU,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683135,49,1412277,150600000,0,4,12,0,0,0,4,0,0,0,0.0,-13.674461879645424,-13.674461879645422,0.0,0.0,0.0,-22.79076979940904,0.0,0.0,0.0,362303,-1.2028652058432936,0,0,0,0,1,0,0,0,SANLUI01,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683138,82,966668,113176928,0,0,10,0,0,0,0,0,0,0,0.0,0.0,-16.648363243636908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396212,-1.750409765495667,0,0,0,0,0,0,0,0,SANJUL,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683144,92,23186,3784768,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57131,-7.547490361364289,0,0,0,0,0,0,0,0,GARDAN,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683153,0,1091378,104709922,1,16,9,0,0,0,4,0,0,0,-73.72990842769416,-70.78071209058638,-13.271383516984947,0.0,0.0,0.0,-29.491963371077663,0.0,0.0,0.0,38907,-0.1857846861923935,1,0,13,9,4,1,0,0,CABCAR,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683156,0,1980363,182213055,0,39,0,0,0,0,2,0,0,0,0.0,-95.08016863575004,0.0,0.0,0.0,0.0,-8.126510139807701,0.0,0.0,0.0,145986,-0.4005914943910029,0,0,18,0,0,0,0,0,LOPJAV,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683178,0,1235653,95392904,3,8,31,0,0,0,2,0,1,0,-195.36358508416197,-31.258173613465917,-40.3751409173935,0.0,0.0,0.0,-13.0242390056108,0.0,-6.5121195028054,0.0,2059323,-10.793900351330114,10,0,3,12,1,3,0,1,RIVCAR,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683182,21,1741751,122864364,0,22,16,0,0,0,0,0,0,0,0.0,-60.98271452119159,-14.783688368773717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835553,-3.4003065364013936,0,0,0,0,0,0,0,0,VAZEDG,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
